Rixs 39 | 3 👼;4;Ай;4;♦Murth🎭EL♠ (Мишель);4;;;;;;;;;;;;;;;;;;;;
Ljoshaa;6;Мишаня;6;NetProblem (Егор);6;Kot_Est_Kapysty;6;Карта 32 мопса;6;D1ABEF1D;6;;;;;;;;;;;;;;
Ай;4;D1ABEF1D;4;Humanov 5;4;Люци★Фер;4;Kaifas Cain;4;;;;;;;;;;;;;;;;
ӇƛƖƦƠ;5;NetProblem (Егор);4;Вив;4;Protagonist 499 МОП;4;Kot_Est_Kapysty;4;;;;;;;;;;;;;;;;
Lafelor 13 годиков;4;NetProblem (Егор);4;Humanov 5;4;Kot_Est_Kapysty;4;pudj;4;fa4eh;4;;;;;;;;;;;;;;
Rixs 39 | 3 👼;4;Ай;5;♦Murth🎭EL♠ (Мишель);5;;;;;;;;;;;;;;;;;;;;
♦Murth🎭EL♠ (Мишель);5;Nobius(Дран);5;Шакшука;5;Kot_Est_Kapysty;5;;;;;;;;;;;;;;;;;;
Ай;4;Quarri;4;NetProblem (Егор);4;Rixs 39 | 3 👼;4;Элифас;4;;;;;;;;;;;;;;;;
Ай;7;Quarri;6;NetProblem (Егор);6;Rixs 39 | 3 👼;6;Элифас;6;;;;;;;;;;;;;;;;
Мишаня;5;Элифас;5;𐎰𐎱𐎲𐎳𐎴𐎵;5;fa4eh;5;surok557;5;;;;;;;;;;;;;;;;
♦Murth🎭EL♠ (Мишель);4;Карта 32 мопса;4;Protagonist 499 МОП;4;Ай;4;Элифас;4;;;;;;;;;;;;;;;;
♦Murth🎭EL♠ (Мишель);5;Карта 32 мопса;5;Protagonist 499 МОП;5;Ай;5;Элифас;5;;;;;;;;;;;;;;;;
Kaths01;5;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;pudj;5;D1ABEF1D;5;Humanov 5;5;;;;;;;;;;;;;;;;
Lafelor 13 годиков;3;Rixs 39 | 3 👼;3;Astraliym;3;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;3;D1ABEF1D;3;Armageddon;3;;;;;;;;;;;;;;
Ljoshaa;7;pudj;7;Элифас;7;Protagonist 499 МОП;7;Kaifas Cain;10;;;;;;;;;;;;;;;;
Ай;5;♦Murth🎭EL♠ (Мишель);4;surok557;4;NetProblem (Егор);4;;;;;;;;;;;;;;;;;;
𝓷𝓾𝓵𝓮𝓿𝓸𝔂;4;Astraliym;4;Rixs 39 | 3 👼;4;Armageddon;2;;;;;;;;;;;;;;;;;;
Эрго;5;Kaifas Cain;5;утка;5;Karach (Боб);5;Магнус Эстонский;5;Карта 32 мопса;5;Anime Show;5;;;;;;;;;;;;
Quarri;6;Ай;6;Элифас;6;NetProblem (Егор);6;D1ABEF1D;6;;;;;;;;;;;;;;;;
NetProblem (Егор);5;Rixs 39 | 3 👼;5;Вив;5;Armageddon;5;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;;;;;;;;;;;;;;;;
NetProblem (Егор);3;Ljoshaa;3;Protagonist 499 МОП;3;Fedir;3;Aibot(Клат);3;;;;;;;;;;;;;;;;
Ай;6;Astraliym;5;ӇƛƖƦƠ;5;Anime Show;5;Rixs 39 | 3 👼;5;;;;;;;;;;;;;;;;
NetProblem (Егор);4;Anime Show;4;Chara;4;reset;4;Эрго;4;Kot_Est_Kapysty;4;;;;;;;;;;;;;;
Ай;3;Astraliym;3;ӇƛƖƦƠ;3;Anime Show;3;Rixs 39 | 3 👼;3;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;Aibot(Клат);3;Ljoshaa;3;reset;3;𐎰𐎱𐎲𐎳𐎴𐎵;3;утка;3;;;;;;;;;;;;;;
Ай;4;Astraliym;4;♦Murth🎭EL♠ (Мишель);4;Protagonist 499 МОП;4;Эрго;4;Chara;4;;;;;;;;;;;;;;
Эрго;11;Ljoshaa;11;♦Murth🎭EL♠ (Мишель);11;𝓷𝓾𝓵𝓮𝓿𝓸𝔂;11;Андрюша;11;;;;;;;;;;;;;;;;
Ай;4;Rixs 39 | 3 👼;4;D1ABEF1D;4;Kodi;4;;;;;;;;;;;;;;;;;;
Muslim;3;reset;3;𐎰𐎱𐎲𐎳𐎴𐎵;3;Kaifas Cain;3;Yurolips;3;;;;;;;;;;;;;;;;
pudj;6;Kaifas Cain;6;Muslim;6;Kot_Est_Kapysty;6;GoldFish;6;SHIRUME (Гуах);49;;;;;;;;;;;;;;
DoogGier(Артём);2;Kaifas Cain;2;Protagonist 499 МОП;2;;;;;;;;;;;;;;;;;;;;
𝓷𝓾𝓵𝓮𝓿𝓸𝔂;2;Rixs 39 | 3 👼;3;♦Murth🎭EL♠ (Мишель);3;Буржуй hilk;3;;;;;;;;;;;;;;;;;;
Ай;5;NetProblem (Егор);4;Элифас;4;Ljoshaa;4;Humanov 5;4;;;;;;;;;;;;;;;;
NetProblem (Егор);3;Kot_Est_Kapysty;3;Ljoshaa;3;Humanov 5;3;D1ABEF1D;3;;;;;;;;;;;;;;;;
Aibot(Клат);3;Protagonist 499 МОП;2;Андрюша;2;Буржуй hilk;1;;;;;;;;;;;;;;;;;;
pudj;6;Rixs 39 | 3 👼;6;Fedir;6;DoogGier(Артём);6;Ljoshaa;6;;;;;;;;;;;;;;;;
NetProblem (Егор);3;Ljoshaa;3;Kaths01;3;𐎰𐎱𐎲𐎳𐎴𐎵;3;[] Михайло Бихов [];3;;;;;;;;;;;;;;;;
𝓷𝓾𝓵𝓮𝓿𝓸𝔂;5;Ljoshaa;5;F rank god;5;утка;5;Андрюша;5;;;;;;;;;;;;;;;;
Ай;4;Элифас;3;Aibot(Клат);3;Humanov 5;3;Kaths01;3;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;Humanov 5;3;[] Михайло Бихов [];3;Андрюша;3;утка;3;Nobius(Дран);3;;;;;;;;;;;;;;
Эрго;6;Ай;6;Rixs 39 | 3 👼;6;Карта 32 мопса;6;Protagonist 499 МОП;6;;;;;;;;;;;;;;;;
pudj;4;NetProblem (Егор);4;Kot_Est_Kapysty;4;D1ABEF1D;4;Ljoshaa;4;;;;;;;;;;;;;;;;
Ай;4;Карта 32 мопса;4;Вив;4;Элифас;4;;;;;;;;;;;;;;;;;;
Anime Show;6;Rixs 39 | 3 👼;6;Ljoshaa;6;Kot_Est_Kapysty;6;Protagonist 499 МОП;6;♦Murth🎭EL♠ (Мишель);6;;;;;;;;;;;;;;
Эрго;7;Андрюша;7;D1ABEF1D;7;Kaths01;7;𐎰𐎱𐎲𐎳𐎴𐎵;7;;;;;;;;;;;;;;;;
Ай;2;Карта 32 мопса;2;Вив;2;Элифас;2;;;;;;;;;;;;;;;;;;
pudj;3;Kaifas Cain;3;Muslim;3;Kot_Est_Kapysty;3;GoldFish;3;SHIRUME (Гуах);3;;;;;;;;;;;;;;
TreeD;5;4eSн0ч0k;5;Карта 32 мопса;5;Lafelor 13 годиков;5;Humanov 5;5;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;;;;;;;;;;;;;;
Ай;3;Элифас;3;Вив;3;Ljoshaa;3;D1ABEF1D;3;;;;;;;;;;;;;;;;
NetProblem (Егор);4;Rixs 39 | 3 👼;4;Quarri;4;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;Humanov 5;4;;;;;;;;;;;;;;;;
Эрго;5;Kot_Est_Kapysty;4;Aibot(Клат);4;Protagonist 499 МОП;4;Андрюша;10;;;;;;;;;;;;;;;;
Muslim;4;reset;5;Kaifas Cain;5;Yurolips;5;;;;;;;;;;;;;;;;;;
Ай;4;Элифас;4;Вив;4;Ljoshaa;4;D1ABEF1D;4;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;𝓷𝓾𝓵𝓮𝓿𝓸𝔂;4;Protagonist 499 МОП;4;Лю;4;Андрюша;4;;;;;;;;;;;;;;;;
pudj;6;NetProblem (Егор);7;Kot_Est_Kapysty;7;D1ABEF1D;7;Ljoshaa;7;;;;;;;;;;;;;;;;
Ай;4;DoogGier(Артём);4;Эрго;4;Humanov 5;4;♦Murth🎭EL♠ (Мишель);4;;;;;;;;;;;;;;;;
Ljoshaa;4;Anime Show;3;Protagonist 499 МОП;3;Эрго;3;ӇƛƖƦƠ;3;;;;;;;;;;;;;;;;
Muslim;5;reset;5;Kaifas Cain;5;Yurolips;5;;;;;;;;;;;;;;;;;;
Quarri;4;Эрго;4;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;Ай;4;fa4eh;4;D1ABEF1D;4;;;;;;;;;;;;;;
ӇƛƖƦƠ;4;Ай;4;Protagonist 499 МОП;4;DoogGier(Артём);4;;;;;;;;;;;;;;;;;;
Эрго;6;Humanov 5;6;♦Murth🎭EL♠ (Мишель);6;fa4eh;6;Aibot(Клат);6;;;;;;;;;;;;;;;;
NetProblem (Егор);4;Rixs 39 | 3 👼;4;Kot_Est_Kapysty;4;Ljoshaa;4;♦Murth🎭EL♠ (Мишель);4;;;;;;;;;;;;;;;;
Ljoshaa;6;Элифас;5;Astraliym;5;Джим кроу;5;Anime Show;5;SHIRUME (Гуах);5;;;;;;;;;;;;;;
Muslim;3;𐎰𐎱𐎲𐎳𐎴𐎵;3;;;;;;;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;3;fa4eh;3;Protagonist 499 МОП;3;Humanov 5;3;Kot_Est_Kapysty;3;Mimic;3;;;;;;;;;;;;;;
Muslim;1;reset;3;Kaifas Cain;3;Yurolips;3;;;;;;;;;;;;;;;;;;
Ай;5;Элифас;5;pudj;5;D1ABEF1D;5;Эрго;5;;;;;;;;;;;;;;;;
Ай;3;Элифас;4;pudj;4;D1ABEF1D;4;Эрго;4;;;;;;;;;;;;;;;;
NetProblem (Егор);2;♦Murth🎭EL♠ (Мишель);2;DoogGier(Артём);2;;;;;;;;;;;;;;;;;;;;
Anime Show;5;Эрго;4;Карта 32 мопса;4;pudj;5;Ай;5;Андрюша;5;;;;;;;;;;;;;;
Rixs 39 | 3 👼;6;Quarri;7;Эрго;7;ӇƛƖƦƠ;7;Lafelor 13 годиков;7;;;;;;;;;;;;;;;;
pudj;4;NetProblem (Егор);4;Kot_Est_Kapysty;4;D1ABEF1D;4;Ljoshaa;4;;;;;;;;;;;;;;;;
Ай;3;Элифас;1;Ljoshaa;1;ӇƛƖƦƠ;1;Вив;1;;;;;;;;;;;;;;;;
Ай;4;Элифас;2;Ljoshaa;2;ӇƛƖƦƠ;2;Вив;2;;;;;;;;;;;;;;;;
Эрго;7;D1ABEF1D;7;Kot_Est_Kapysty;7;♦Murth🎭EL♠ (Мишель);7;;;;;;;;;;;;;;;;;;
Ай;3;Элифас;1;Ljoshaa;1;ӇƛƖƦƠ;1;Вив;1;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;3;reset;3;Ай;3;Armageddon;3;Yurolips;3;;;;;;;;;;;;;;;;
Muslim;4;Kaifas Cain;4;Losker;4;Red_Custodian;4;Hatter;4;;;;;;;;;;;;;;;;
Protagonist 499 МОП;4;Anime Show;4;Андрюша;4;Вив;4;N0barm;4;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;reset;4;Ай;4;Armageddon;4;Yurolips;4;;;;;;;;;;;;;;;;
ӇƛƖƦƠ;3;Андрюша;3;Deleted User;3;GoldFish;3;Вив;3;;;;;;;;;;;;;;;;
pudj;10;D1ABEF1D;10;Ljoshaa;10;Kot_Est_Kapysty;10;Protagonist 499 МОП;10;;;;;;;;;;;;;;;;
Protagonist 499 МОП;3;Kaths01;3;Андрюша;3;утка;3;ӇƛƖƦƠ;3;;;;;;;;;;;;;;;;
Эрго;4;Hatter;4;;;;;;;;;;;;;;;;;;;;;;
Эрго;8;D1ABEF1D;7;Humanov 5;7;Kvich;7;Hatter;4;N0barm;4;;;;;;;;;;;;;;
Ай;4;Элифас;2;Ljoshaa;2;ӇƛƖƦƠ;2;Вив;2;;;;;;;;;;;;;;;;
ӇƛƖƦƠ;4;Андрюша;4;Deleted User;4;GoldFish;4;Вив;4;;;;;;;;;;;;;;;;
Эрго;12;Kvich;12;D1ABEF1D;4;Aibot(Клат);12;fa4eh;3;;;;;;;;;;;;;;;;
Ljoshaa;3;Humanov 5;3;Kot_Est_Kapysty;3;Majekan;3;Джим кроу;3;;;;;;;;;;;;;;;;
Protagonist 499 МОП;2;Kaths01;2;Андрюша;2;утка;2;;;;;;;;;;;;;;;;;;
Muslim;6;Fedir;6;reset;6;Kaifas Cain;6;N0barm;6;;;;;;;;;;;;;;;;
Ljoshaa;4;Kvich;4;Kaths01;4;D1ABEF1D;4;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;Ljoshaa;5;Humanov 5;5;Ай;5;Kaifas Cain;5;;;;;;;;;;;;;;;;
Protagonist 499 МОП;6;Anime Show;6;Вив;6;N0barm;6;Андрюша;6;;;;;;;;;;;;;;;;
pudj;5;D1ABEF1D;5;Вив;5;Fedir;5;Kvich;5;Андрюша;5;;;;;;;;;;;;;;
Muslim;8;Kaifas Cain;8;Losker;8;Red_Custodian;8;Hatter;8;FoRfOx;8;;;;;;;;;;;;;;
Protagonist 499 МОП;5;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;Ljoshaa;5;Kot_Est_Kapysty;2;D1ABEF1D;5;;;;;;;;;;;;;;;;
Kaths01;1;Kodi;1;ХХХ_Леха2424_ХХХ;1;;;;;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;утка;3;Protagonist 499 МОП;5;Kvich;5;fa4eh;3;Kaths01;30;;;;;;;;;;;;;;
Kaths01;3;Kvich;3;Protagonist 499 МОП;3;Fedir;3;;;;;;;;;;;;;;;;;;
Rixs 39 | 3 👼;4;Kot_Est_Kapysty;4;NetProblem (Егор);4;;;;;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;2;Humanov 5;2;Kaifas Cain;2;reset;2;Ай;2;;;;;;;;;;;;;;;;
Protagonist 499 МОП;5;Ljoshaa;5;pudj;5;Kvich;5;Rixs 39 | 3 👼;5;;;;;;;;;;;;;;;;
Эрго;5;Rixs 39 | 3 👼;5;Kvich;5;Ljoshaa;5;Паук 2.5 (Харон);5;;;;;;;;;;;;;;;;
Protagonist 499 МОП;4;Anime Show;4;Паук 2.5 (Харон);4;Вив;4;𝓷𝓾𝓵𝓮𝓿𝓸𝔂;4;Kvich;4;;;;;;;;;;;;;;
𝓷𝓾𝓵𝓮𝓿𝓸𝔂;3;Humanov 5;3;Kaths01;3;SHIRUME (Гуах);3;;;;;;;;;;;;;;;;;;
Kvich;3;Элай;3;Kaifas Cain;3;Карта 32 мопса;3;♦Murth🎭EL♠ (Мишель);3;reset;3;;;;;;;;;;;;;;
Kvich;3;Ljoshaa;3;;;;;;;;;;;;;;;;;;;;;;
Ай;3;Элифас;1;Ljoshaa;1;ӇƛƖƦƠ;1;;;;;;;;;;;;;;;;;;
Эрго;6;Rixs 39 | 3 👼;6;putihestvinik;6;Паук 2.5 (Харон);6;;;;;;;;;;;;;;;;;;
Protagonist 499 МОП;5;Anime Show;5;Андрюша;5;Вив;5;;;;;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;reset;5;Kaifas Cain;5;Humanov 5;5;Kvich;5;;;;;;;;;;;;;;;;
Kaths01;5;Protagonist 499 МОП;5;Yurolips;5;putihestvinik;5;Паук 2.5 (Харон);5;Андрюша;5;;;;;;;;;;;;;;
Rixs 39 | 3 👼;6;Kvich;6;pudj;6;putihestvinik;6;Паук 2.5 (Харон);6;;;;;;;;;;;;;;;;
витя;4;Вив;5;Deleted User;5;;;;;;;;;;;;;;;;;;;;
pudj;6;Kvich;6;Ай;6;Mattie;6;;;;;;;;;;;;;;;;;;
Rixs 39 | 3 👼;5;Kvich;5;NetProblem (Егор);5;DoogGier(Артём);5;REDICULUS;5;;;;;;;;;;;;;;;;
Protagonist 499 МОП;4;Эрго;4;Андрюша;4;Вив;4;putihestvinik;4;Rixs 39 | 3 👼;4;;;;;;;;;;;;;;
R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;5;reset;5;Kaifas Cain;5;Humanov 5;5;Kvich;5;;;;;;;;;;;;;;;;
Ай;3;Элифас;1;Ljoshaa;1;ӇƛƖƦƠ;1;;;;;;;;;;;;;;;;;;
Kvich;3;Элай;3;Kaifas Cain;3;Карта 32 мопса;3;♦Murth🎭EL♠ (Мишель);3;reset;3;Ljoshaa;3;;;;;;;;;;;;
Protagonist 499 МОП;4;Эрго;4;Андрюша;4;Вив;4;putihestvinik;4;Rixs 39 | 3 👼;4;;;;;;;;;;;;;;
pudj;3;Kvich;3;D1ABEF1D;3;Astraliym;3;Джим кроу;3;SHIRUME (Гуах);3;;;;;;;;;;;;;;
витя;2;Deleted User;1;;;;;;;;;;;;;;;;;;;;;;
Ай;4;Элифас;1;Ljoshaa;1;ӇƛƖƦƠ;1;;;;;;;;;;;;;;;;;;
Alexander;6;𝓷𝓾𝓵𝓮𝓿𝓸𝔂;6;Majekan;6;Quarri;6;Kvich;6;;;;;;;;;;;;;;;;
Protagonist 499 МОП;4;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;4;Rixs 39 | 3 👼;4;Джим кроу;4;Андрюша;4;;;;;;;;;;;;;;;;
Kaths01;3;Kaifas Cain;3;Kvich;3;;;;;;;;;;;;;;;;;;;;
Kaths01;0;Kaifas Cain;3;Kvich;3;;;;;;;;;;;;;;;;;;;;
Protagonist 499 МОП;5;Anime Show;5;Rixs 39 | 3 👼;5;Kvich;5;Aibot(Клат);5;DoogGier(Артём);5;;;;;;;;;;;;;;
Protagonist 499 МОП;6;R̸̼̓i̷̫̅́͛P̷̰͚̑k̷̪̂̂̋a̷̘͐͜Q̵̠̏̑;6;Rixs 39 | 3 👼;6;Эрго;6;Kvich;6;Kot_Est_Kapysty;6;;;;;;;;;;;;;;
Kaths01;5;Protagonist 499 МОП;5;DoogGier(Артём);5;Буржуй hilk;5;Андрюша;5;ХХХ_Леха2424_ХХХ;5;;;;;;;;;;;;;;
Kvich;3;Ljoshaa;3;Элифас;3;Yurolips;3;Misfits;3;;;;;;;;;;;;;;;;
Muslim;5;Kaifas Cain;5;Losker;5;Red_Custodian;5;Hatter;5;FoRfOx;4;;;;;;;;;;;;;;
Protagonist 499 МОП;4;Андрюша;4;REDICULUS;4;Vait;4;Просто Бекон;4;fa4eh;4;витя;4;;;;;;;;;;;;
Rixs 39 | 3 👼;5;Kvich;5;Эрго;5;Элифас;5;SHIRUME (Гуах);2;;;;;;;;;;;;;;;;
Protagonist 499 МОП;4;Anime Show;3;Kaths01;4;Андрюша;4;Aibot(Клат);4;;;;;;;;;;;;;;;;
Kvich;4;Элай;4;Kaifas Cain;4;Карта 32 мопса;1;reset;4;Ljoshaa;4;;;;;;;;;;;;;;
Ай;3;Элифас;3;Ljoshaa;3;ӇƛƖƦƠ;3;;;;;;;;;;;;;;;;;;
pudj;3;Ljoshaa;5;Rixs 39 | 3 👼;5;D1ABEF1D;5;Kot_Est_Kapysty;5;Kvich;5;;;;;;;;;;;;;;
